# t theta1 omega1 theta2 omega2 KE1 PE1 KE2 PE2 E_Total
1.38000000 -0.15536820 0.59248907 -0.01734591 -0.41346094 0.17552165 0.11816517 0.08547497 0.00147578 0.45683818
1.39000000 -0.14937563 0.60596487 -0.02147860 -0.41297185 0.18359671 0.10924229 0.08527288 0.00226274 0.44580522
1.40000000 -0.14325017 0.61906132 -0.02560331 -0.41186934 0.19161846 0.10048159 0.08481818 0.00321520 0.43549656
1.41000000 -0.13699576 0.63175071 -0.02971399 -0.41016898 0.19955448 0.09191236 0.08411930 0.00433041 0.42595405
1.42000000 -0.13061660 0.64400498 -0.03380475 -0.40788767 0.20737121 0.08356381 0.08318618 0.00560471 0.41721605
1.43000000 -0.12411720 0.65579579 -0.03786987 -0.40504362 0.21503406 0.07546496 0.08203017 0.00703355 0.40931715
1.44000000 -0.11750233 0.66709459 -0.04190381 -0.40165621 0.22250760 0.06764446 0.08066386 0.00861157 0.40228803
1.45000000 -0.11077705 0.67787276 -0.04590125 -0.39774593 0.22975574 0.06013044 0.07910091 0.01033265 0.39615522
1.46000000 -0.10394670 0.68810167 -0.04985706 -0.39333430 0.23674195 0.05295042 0.07735594 0.01218996 0.39094103
1.47000000 -0.09701694 0.69775281 -0.05376634 -0.38844377 0.24342949 0.04613106 0.07544428 0.01417605 0.38666335
1.48000000 -0.08999367 0.70679786 -0.05762441 -0.38309762 0.24978161 0.03969811 0.07338189 0.01628290 0.38333559
1.49000000 -0.08288310 0.71520883 -0.06142685 -0.37731988 0.25576183 0.03367614 0.07118515 0.01850201 0.38096661
1.50000000 -0.07569170 0.72295814 -0.06516945 -0.37113523 0.26133423 0.02808847 0.06887068 0.02082445 0.37956071
1.51000000 -0.06842623 0.73001873 -0.06884828 -0.36456888 0.26646367 0.02295698 0.06645524 0.02324094 0.37911754
1.52000000 -0.06109371 0.73636417 -0.07245965 -0.35764651 0.27111609 0.01830193 0.06395551 0.02574195 0.37963222
1.53000000 -0.05370142 0.74196875 -0.07600011 -0.35039413 0.27525882 0.01414185 0.06138802 0.02831773 0.38109534
1.54000000 -0.04625689 0.74680762 -0.07946652 -0.34283798 0.27886081 0.01049335 0.05876894 0.03095842 0.38349305
1.55000000 -0.03876790 0.75085685 -0.08285595 -0.33500447 0.28189300 0.00737104 0.05611400 0.03365410 0.38680717
1.56000000 -0.03124246 0.75409353 -0.08616577 -0.32692005 0.28432853 0.00478734 0.05343836 0.03639484 0.39101535
1.57000000 -0.02368881 0.75649592 -0.08939360 -0.31861109 0.28614304 0.00275236 0.05075651 0.03917082 0.39609120
1.58000000 -0.01611539 0.75804347 -0.09253733 -0.31010382 0.28731495 0.00127383 0.04808219 0.04197232 0.40200455
1.59000000 -0.00853085 0.75871700 -0.09559510 -0.30142422 0.28782574 0.00035696 0.04542828 0.04478984 0.40872156
1.60000000 -0.00094402 0.75849869 -0.09856533 -0.29259792 0.28766013 0.00000437 0.04280677 0.04761411 0.41620506
1.61000000 0.00663610 0.75737225 -0.10144666 -0.28365010 0.28680636 0.00021600 0.04022869 0.05043616 0.42441474
1.62000000 0.01420035 0.75532296 -0.10423800 -0.27460543 0.28525639 0.00098908 0.03770407 0.05324734 0.43330744
1.63000000 0.02173944 0.75233774 -0.10693852 -0.26548795 0.28300604 0.00231803 0.03524193 0.05603940 0.44283745
1.64000000 0.02924394 0.74840525 -0.10954760 -0.25632100 0.28005521 0.00419450 0.03285023 0.05880447 0.45295677
1.65000000 0.03670435 0.74351592 -0.11206485 -0.24712715 0.27640796 0.00660732 0.03053591 0.06153516 0.46361545
1.66000000 0.04411105 0.73766205 -0.11449012 -0.23792812 0.27207265 0.00954253 0.02830490 0.06422448 0.47476188
1.67000000 0.05145436 0.73083783 -0.11682347 -0.22874469 0.26706197 0.01298337 0.02616207 0.06686598 0.48634309
1.68000000 0.05872456 0.72303942 -0.11906514 -0.21959667 0.26139300 0.01691039 0.02411135 0.06945366 0.49830510
1.69000000 0.06591189 0.71426495 -0.12121558 -0.21050281 0.25508721 0.02130146 0.02215572 0.07198203 0.51059317
1.70000000 0.07300660 0.70451460 -0.12327543 -0.20148073 0.24817041 0.02613186 0.02029724 0.07444611 0.52315217
1.71000000 0.07999894 0.69379060 -0.12524549 -0.19254694 0.24067270 0.03137443 0.01853716 0.07684143 0.53592682
1.72000000 0.08687918 0.68209729 -0.12712672 -0.18371669 0.23262835 0.03699962 0.01687591 0.07916399 0.54886198
1.73000000 0.09363767 0.66944107 -0.12892022 -0.17500403 0.22407567 0.04297569 0.01531321 0.08141032 0.56190295
1.74000000 0.10026482 0.65583049 -0.13062723 -0.16642171 0.21505681 0.04926884 0.01384809 0.08357739 0.57499570
1.75000000 0.10675114 0.64127617 -0.13224912 -0.15798117 0.20561757 0.05584336 0.01247903 0.08566266 0.58808711
1.76000000 0.11308724 0.62579089 -0.13378736 -0.14969253 0.19580712 0.06266187 0.01120393 0.08766400 0.60112520
1.77000000 0.11926390 0.60938949 -0.13524351 -0.14156456 0.18567777 0.06968546 0.01002026 0.08957974 0.61405933
1.78000000 0.12527203 0.59208889 -0.13661921 -0.13360466 0.17528463 0.07687396 0.00892510 0.09140858 0.62684037
1.79000000 0.13110274 0.57390810 -0.13791618 -0.12581889 0.16468525 0.08418611 0.00791520 0.09314960 0.63942088
1.80000000 0.13674733 0.55486811 -0.13913619 -0.11821193 0.15393931 0.09157983 0.00698703 0.09480221 0.65175525
1.81000000 0.14219732 0.53499193 -0.14028103 -0.11078712 0.14310818 0.09901247 0.00613689 0.09636617 0.66379978
1.82000000 0.14744446 0.51430451 -0.14135254 -0.10354646 0.13225457 0.10644102 0.00536093 0.09784148 0.67551285
1.83000000 0.15248079 0.49283270 -0.14235258 -0.09649061 0.12144203 0.11382238 0.00465522 0.09922844 0.68685493
1.84000000 0.15729860 0.47060516 -0.14328297 -0.08961897 0.11073461 0.12111364 0.00401578 0.10052753 0.69778868
1.85000000 0.16189048 0.44765238 -0.14414556 -0.08292963 0.10019633 0.12827230 0.00343866 0.10173947 0.70827899
1.86000000 0.16624934 0.42400653 -0.14494216 -0.07641949 0.08989077 0.13525656 0.00291997 0.10286509 0.71829298
1.87000000 0.17036841 0.39970143 -0.14567454 -0.07008424 0.07988062 0.14202554 0.00245590 0.10390541 0.72780003
1.88000000 0.17424128 0.37477246 -0.14634441 -0.06391843 0.07022720 0.14853955 0.00204278 0.10486150 0.73677178
1.89000000 0.17786190 0.34925651 -0.14695345 -0.05791552 0.06099005 0.15476034 0.00167710 0.10573454 0.74518208
1.90000000 0.18122459 0.32319184 -0.14750324 -0.05206794 0.05222648 0.16065133 0.00135554 0.10652574 0.75300701
1.91000000 0.18432404 0.29661804 -0.14799530 -0.04636713 0.04399113 0.16617781 0.00107496 0.10723635 0.76022481
1.92000000 0.18715538 0.26957591 -0.14843104 -0.04080362 0.03633559 0.17130720 0.00083247 0.10786759 0.76681583
1.93000000 0.18971414 0.24210737 -0.14881179 -0.03536712 0.02930799 0.17600923 0.00062542 0.10842067 0.77276253
1.94000000 0.19199625 0.21425538 -0.14913877 -0.03004655 0.02295268 0.18025612 0.00045140 0.10889677 0.77804938
1.95000000 0.19399811 0.18606378 -0.14941307 -0.02483011 0.01730987 0.18402276 0.00030827 0.10929696 0.78266282
1.96000000 0.19571655 0.15757727 -0.14963568 -0.01970542 0.01241530 0.18728688 0.00019415 0.10962228 0.78659123
1.97000000 0.19714883 0.12884121 -0.14980744 -0.01465954 0.00830003 0.19002918 0.00010745 0.10987362 0.78982488
1.98000000 0.19829269 0.09990158 -0.14992909 -0.00967907 0.00499016 0.19223343 0.00004684 0.11005179 0.79235585
1.99000000 0.19914634 0.07080485 -0.15000119 -0.00475024 0.00250666 0.19388663 0.00001128 0.11015748 0.79417804
2.00000000 0.19970842 0.04159785 -0.15002422 0.00014101 0.00086519 0.19497901 0.00000001 0.11019123 0.79528710
2.01000000 0.19997808 0.01232766 -0.14999845 0.00500893 0.00007599 0.19550416 0.00001254 0.11015346 0.79568044
2.02000000 0.19995492 -0.01695848 -0.14992407 0.00986790 0.00014379 0.19545903 0.00004869 0.11004444 0.79535717
2.03000000 0.19963902 -0.04621330 -0.14980108 0.01473231 0.00106783 0.19484396 0.00010852 0.10986430 0.79431813
2.04000000 0.19903092 -0.07538962 -0.14962935 0.01961649 0.00284180 0.19366270 0.00019240 0.10961303 0.79256587
2.05000000 0.19813164 -0.10444048 -0.14940863 0.02453462 0.00545391 0.19192233 0.00030097 0.10929048 0.79010466
